origin_file,part_id,field,fixture_value,real_value
unit/logic/actions/test_repair_action.gd,torso,max_hp,10,12
unit/logic/actions/test_shot_resolution.gd,torso,hp,10,12
unit/logic/actions/test_shot_resolution.gd,torso,max_hp,10,12
unit/logic/actions/test_shutdown_action.gd,reactor,meltdown_turns,5,2
unit/logic/actions/test_shutdown_action.gd,reactor,detonate_damage,5.0,6.0
unit/logic/actions/test_shutdown_action.gd,reactor,hp,1,5
unit/logic/actions/test_shutdown_action.gd,reactor,max_hp,1,5
unit/logic/actions/test_slash_action.gd,hand,hp,5,3
unit/logic/actions/test_slash_action.gd,hand,max_hp,5,3
unit/logic/actions/test_stab_action.gd,hand,hp,5,3
unit/logic/actions/test_stab_action.gd,hand,max_hp,5,3
unit/logic/actions/test_swap_part_action.gd,torso,hp,10,12
unit/logic/actions/test_swap_part_action.gd,torso,max_hp,10,12
unit/logic/ai/test_ally_in_line.gd,torso,hp,20,12
unit/logic/ai/test_ally_in_line.gd,torso,max_hp,20,12
unit/logic/ai/test_batch_objective.gd,crate,hp,20,3
unit/logic/ai/test_batch_objective.gd,crate,max_hp,20,3
unit/logic/ai/test_batch_objective.gd,crate,material,steel,hull_plate
unit/logic/ai/test_bout_runner.gd,rifle,hp,3,4
unit/logic/ai/test_bout_runner.gd,rifle,max_hp,3,4
unit/logic/ai/test_bout_runner.gd,rifle,damage,5.0,6.0
unit/logic/ai/test_bout_runner.gd,rifle,ap_cost,5,2
unit/logic/test_action_catalog.gd,hand,hp,5,3
unit/logic/test_action_catalog.gd,hand,max_hp,5,3
unit/logic/test_action_catalog.gd,torso,hp,10,12
unit/logic/test_action_catalog.gd,torso,max_hp,10,12
unit/logic/test_body_projector.gd,torso,hp,10,12
unit/logic/test_body_projector.gd,torso,max_hp,10,12
unit/logic/test_body_projector.gd,crate,hp,5,3
unit/logic/test_body_projector.gd,crate,max_hp,5,3
unit/logic/test_body_projector.gd,forearm,hp,4,5
unit/logic/test_body_projector.gd,forearm,max_hp,4,5
unit/logic/test_body_projector.gd,arm,hp,4,6
unit/logic/test_body_projector.gd,arm,max_hp,4,6
unit/logic/test_body_projector.gd,head,hp,3,6
unit/logic/test_body_projector.gd,head,max_hp,3,6
unit/logic/test_cell_inspection.gd,torso,hp,8,12
unit/logic/test_cell_inspection.gd,torso,max_hp,10,12
unit/logic/test_combat_action_speed.gd,pistol,hp,1,3
unit/logic/test_combat_action_speed.gd,pistol,max_hp,1,3
unit/logic/test_combat_action_speed.gd,torso,hp,5,12
unit/logic/test_combat_action_speed.gd,torso,max_hp,5,12
unit/logic/test_continuous_height_and_escapes.gd,torso,hp,10,12
unit/logic/test_continuous_height_and_escapes.gd,torso,max_hp,10,12
unit/logic/test_cutout_gate_over_zoom.gd,torso,hp,10,12
unit/logic/test_cutout_gate_over_zoom.gd,torso,max_hp,10,12
unit/logic/test_damage_resolver.gd,torso,hp,10,12
unit/logic/test_damage_resolver.gd,torso,max_hp,10,12
unit/logic/test_damage_resolver.gd,wall,material,wide_test,steel
unit/logic/test_damage_resolver.gd,wall,hp,50,60
unit/logic/test_damage_resolver.gd,wall,max_hp,50,60
unit/logic/test_damage_resolver.gd,reactor,meltdown_turns,5,2
unit/logic/test_damage_resolver.gd,reactor,detonate_damage,5.0,6.0
unit/logic/test_damage_resolver.gd,reactor,hp,1,5
unit/logic/test_damage_resolver.gd,reactor,max_hp,1,5
unit/logic/test_damage_resolver.gd,arm,material,steel,artificial_bone
unit/logic/test_damage_resolver.gd,arm,hp,4,6
unit/logic/test_damage_resolver.gd,arm,max_hp,4,6
unit/logic/test_damage_resolver_consequences.gd,torso,hp,10,12
unit/logic/test_damage_resolver_consequences.gd,torso,max_hp,10,12
unit/logic/test_damage_resolver_consequences.gd,head,hp,3,6
unit/logic/test_damage_resolver_consequences.gd,head,max_hp,3,6
unit/logic/test_damage_resolver_consequences.gd,arm,hp,3,6
unit/logic/test_damage_resolver_consequences.gd,arm,max_hp,3,6
unit/logic/test_damage_resolver_consequences.gd,arm,failure_mode,DISABLE,MANGLE
unit/logic/test_data_validator.gd,reactor,failure_mode,NOT_A_REAL_MODE,MELTDOWN
unit/logic/test_deep_strike.gd,torso,hp,5,12
unit/logic/test_deep_strike.gd,torso,max_hp,5,12
unit/logic/test_deep_strike.gd,pistol,hp,1,3
unit/logic/test_deep_strike.gd,pistol,max_hp,1,3
unit/logic/test_deep_strike.gd,pistol,damage,5.0,4.0
unit/logic/test_detonation_draw.gd,goo_barrel,material,steel,reactive
unit/logic/test_detonation_draw.gd,goo_barrel,hp,4,3
unit/logic/test_detonation_draw.gd,goo_barrel,max_hp,4,3
unit/logic/test_detonation_draw.gd,goo_barrel,detonate_damage,40.0,12.0
unit/logic/test_detonation_draw.gd,goo_barrel,detonate_radius,3.0,2.0
unit/logic/test_every_firing_path_announces_itself.gd,hand,hp,5,3
unit/logic/test_every_firing_path_announces_itself.gd,hand,max_hp,5,3
unit/logic/test_every_firing_path_announces_itself.gd,torso,hp,200,12
unit/logic/test_every_firing_path_announces_itself.gd,torso,max_hp,200,12
unit/logic/test_grid.gd,wall,hp,10,60
unit/logic/test_grid.gd,wall,max_hp,10,60
unit/logic/test_hover_and_turn_end.gd,torso,hp,10,12
unit/logic/test_hover_and_turn_end.gd,torso,max_hp,10,12
unit/logic/test_inspect_rows.gd,torso,hp,10,12
unit/logic/test_inspect_rows.gd,torso,max_hp,10,12
unit/logic/test_instant_resolver.gd,torso,hp,5,12
unit/logic/test_instant_resolver.gd,torso,max_hp,5,12
unit/logic/test_inventory_rows.gd,torso,hp,10,12
unit/logic/test_inventory_rows.gd,torso,max_hp,10,12
unit/logic/test_inventory_rows.gd,arm,hp,0,6
unit/logic/test_inventory_rows.gd,arm,max_hp,4,6
unit/logic/test_inventory_rows.gd,hand,hp,5,3
unit/logic/test_inventory_rows.gd,hand,max_hp,5,3
unit/logic/test_kit_equipper.gd,torso,hp,5,12
unit/logic/test_kit_equipper.gd,torso,max_hp,5,12
unit/logic/test_ladder.gd,torso,hp,10,12
unit/logic/test_ladder.gd,torso,max_hp,10,12
unit/logic/test_life_support.gd,torso,hp,10,12
unit/logic/test_life_support.gd,torso,max_hp,10,12
unit/logic/test_life_support.gd,reactor,hp,0,5
unit/logic/test_life_support.gd,reactor,max_hp,3,5
unit/logic/test_load_map_verb.gd,torso,hp,10,12
unit/logic/test_load_map_verb.gd,torso,max_hp,10,12
unit/logic/test_los.gd,crate,hp,10,3
unit/logic/test_los.gd,crate,max_hp,10,3
unit/logic/test_melee_delivery.gd,pistol,damage,5.0,4.0
unit/logic/test_melee_delivery.gd,torso,hp,10,12
unit/logic/test_melee_delivery.gd,torso,max_hp,10,12
unit/logic/test_melee_reach.gd,torso,hp,10,12
unit/logic/test_melee_reach.gd,torso,max_hp,10,12
unit/logic/test_membership_disagreement.gd,wall,hp,0,60
unit/logic/test_overwatch.gd,pistol,damage,5.0,4.0
unit/logic/test_overwatch.gd,torso,hp,10,12
unit/logic/test_overwatch.gd,torso,max_hp,10,12
unit/logic/test_reaction_window.gd,pistol,damage,5.0,4.0
unit/logic/test_reaction_window.gd,torso,hp,10,12
unit/logic/test_reaction_window.gd,torso,max_hp,10,12
unit/logic/test_repair_resolver.gd,leg,material,steel,artificial_bone
unit/logic/test_repair_resolver.gd,hand,hp,4,3
unit/logic/test_repair_resolver.gd,hand,max_hp,4,3
unit/logic/test_repair_resolver.gd,torso,hp,10,12
unit/logic/test_repair_resolver.gd,torso,max_hp,10,12
unit/logic/test_resolution_speed.gd,torso,hp,10,12
unit/logic/test_resolution_speed.gd,torso,max_hp,10,12
unit/logic/test_resolution_speed.gd,pistol,hp,1,3
unit/logic/test_resolution_speed.gd,pistol,max_hp,1,3
unit/logic/test_resolution_speed.gd,hand,hp,5,3
unit/logic/test_resolution_speed.gd,hand,max_hp,5,3
unit/logic/test_resolve_until.gd,pistol,damage,5.0,4.0
unit/logic/test_resolve_until.gd,arm,hp,3,6
unit/logic/test_resolve_until.gd,arm,max_hp,3,6
unit/logic/test_resolve_until.gd,leg,hp,3,6
unit/logic/test_resolve_until.gd,leg,max_hp,3,6
unit/logic/test_resolve_until.gd,torso,hp,10,12
unit/logic/test_resolve_until.gd,torso,max_hp,10,12
unit/logic/test_ricochet_stress.gd,chaingun,damage,3.0,2.0
unit/logic/test_ricochet_stress.gd,hand,hp,5,3
unit/logic/test_ricochet_stress.gd,hand,max_hp,5,3
unit/logic/test_seam_sweep.gd,torso,material,steel,artificial_bone
unit/logic/test_seam_sweep.gd,torso,hp,20,12
unit/logic/test_seam_sweep.gd,torso,max_hp,20,12
unit/logic/test_section_join.gd,torso,hp,10,12
unit/logic/test_section_join.gd,torso,max_hp,10,12
unit/logic/test_selection_controller.gd,leg,material,steel,artificial_bone
unit/logic/test_selection_controller.gd,leg,hp,5,6
unit/logic/test_selection_controller.gd,leg,max_hp,10,6
unit/logic/test_selection_controller.gd,hand,hp,4,3
unit/logic/test_selection_controller.gd,hand,max_hp,4,3
unit/logic/test_selection_controller.gd,torso,hp,10,12
unit/logic/test_selection_controller.gd,torso,max_hp,10,12
unit/logic/test_selection_of_cover.gd,goo_barrel,hp,4,3
unit/logic/test_selection_of_cover.gd,goo_barrel,max_hp,4,3
unit/logic/test_selection_target.gd,goo_barrel,hp,4,3
unit/logic/test_selection_target.gd,goo_barrel,max_hp,4,3
unit/logic/test_shot_plane_amortisation.gd,torso,material,steel,artificial_bone
unit/logic/test_shot_plane_amortisation.gd,torso,hp,40,12
unit/logic/test_shot_plane_amortisation.gd,torso,max_hp,40,12
unit/logic/test_shot_scatter.gd,torso,hp,10,12
unit/logic/test_shot_scatter.gd,torso,max_hp,10,12
unit/logic/test_sight_geometry.gd,torso,hp,20,12
unit/logic/test_sight_geometry.gd,torso,max_hp,20,12
unit/logic/test_step_out_interrupt.gd,hand,hp,4,3
unit/logic/test_step_out_interrupt.gd,hand,max_hp,4,3
unit/logic/test_step_out_interrupt.gd,rifle,hp,3,4
unit/logic/test_step_out_interrupt.gd,rifle,max_hp,3,4
unit/logic/test_step_out_interrupt.gd,rifle,damage,5.0,6.0
unit/logic/test_step_out_interrupt.gd,rifle,ap_cost,1,2
unit/logic/test_step_out_planner.gd,pistol,damage,5.0,4.0
unit/logic/test_step_out_planner.gd,hand,hp,4,3
unit/logic/test_step_out_planner.gd,hand,max_hp,4,3
unit/logic/test_step_out_planner.gd,torso,hp,10,12
unit/logic/test_step_out_planner.gd,torso,max_hp,10,12
unit/logic/test_suppression.gd,hand,hp,5,3
unit/logic/test_suppression.gd,hand,max_hp,5,3
unit/logic/test_surrogate.gd,torso,hp,10,12
unit/logic/test_surrogate.gd,torso,max_hp,10,12
unit/logic/test_tooltip_builder.gd,arm,hp,0,6
unit/logic/test_tooltip_builder.gd,torso,hp,8,12
unit/logic/test_tooltip_builder.gd,torso,max_hp,8,12
unit/logic/test_transparency_proof.gd,hand,hp,5,3
unit/logic/test_transparency_proof.gd,hand,max_hp,5,3
unit/logic/test_transparency_proof.gd,torso,hp,1000,12
unit/logic/test_transparency_proof.gd,torso,max_hp,1000,12
unit/logic/test_unit_geometry.gd,torso,hp,10,12
unit/logic/test_unit_geometry.gd,torso,max_hp,10,12
unit/logic/test_unit_geometry.gd,arm,hp,4,6
unit/logic/test_unit_geometry.gd,arm,max_hp,4,6
unit/logic/test_unit_geometry.gd,leg,hp,4,6
unit/logic/test_unit_geometry.gd,leg,max_hp,4,6
unit/logic/test_unit_geometry.gd,wall,hp,10,60
unit/logic/test_unit_geometry.gd,wall,max_hp,10,60
unit/logic/test_unit_geometry.gd,pistol,hp,1,3
unit/logic/test_unit_geometry.gd,pistol,max_hp,1,3
unit/logic/test_unit_picker.gd,head,hp,5,6
unit/logic/test_unit_picker.gd,head,max_hp,5,6
unit/logic/test_unit_picker.gd,torso,hp,5,12
unit/logic/test_unit_picker.gd,torso,max_hp,5,12
unit/logic/test_vertical_movement.gd,torso,hp,10,12
unit/logic/test_vertical_movement.gd,torso,max_hp,10,12
unit/logic/test_visibility_field.gd,crate,hp,5,3
unit/logic/test_visibility_field.gd,crate,max_hp,5,3
unit/logic/test_wall_legibility.gd,torso,hp,10,12
unit/logic/test_wall_legibility.gd,torso,max_hp,10,12
unit/logic/test_weapon_resolver.gd,pistol,hp,1,3
unit/logic/test_weapon_resolver.gd,pistol,max_hp,1,3
unit/logic/test_weapon_rows.gd,pistol,hp,0,3
unit/logic/test_weapon_rows.gd,hand,hp,5,3
unit/logic/test_weapon_rows.gd,hand,max_hp,5,3
unit/logic/test_weapon_rows.gd,torso,hp,10,12
unit/logic/test_weapon_rows.gd,torso,max_hp,10,12
unit/logic/test_weapon_rows.gd,rifle,hp,3,4
unit/logic/test_weapon_rows.gd,rifle,max_hp,3,4
unit/logic/test_weapon_rows.gd,rifle,damage,8.0,6.0
unit/logic/test_weapon_sim_hardening.gd,hand,hp,5,3
unit/logic/test_weapon_sim_hardening.gd,hand,max_hp,5,3
unit/view/overlays/test_spectator_overlay.gd,crate,hp,4,3
unit/view/overlays/test_spectator_overlay.gd,crate,max_hp,4,3
unit/view/overlays/test_squad_control_overlay.gd,pistol,hp,1,3
unit/view/overlays/test_squad_control_overlay.gd,pistol,max_hp,1,3
unit/view/overlays/test_squad_control_overlay.gd,pistol,damage,5.0,4.0
unit/view/overlays/test_squad_control_overlay.gd,hand,hp,4,3
unit/view/overlays/test_squad_control_overlay.gd,hand,max_hp,4,3
unit/view/overlays/test_squad_control_overlay.gd,torso,hp,10,12
unit/view/overlays/test_squad_control_overlay.gd,torso,max_hp,10,12
unit/view/overlays/test_squad_control_overlay.gd,leg,material,steel,artificial_bone
unit/view/overlays/test_squad_control_overlay.gd,leg,hp,5,6
unit/view/overlays/test_squad_control_overlay.gd,leg,max_hp,10,6
unit/view/test_action_bar.gd,pistol,hp,1,3
unit/view/test_action_bar.gd,pistol,max_hp,1,3
unit/view/test_action_bar.gd,pistol,damage,5.0,4.0
unit/view/test_action_bar.gd,hand,hp,5,3
unit/view/test_action_bar.gd,hand,max_hp,5,3
unit/view/test_action_bar.gd,torso,hp,10,12
unit/view/test_action_bar.gd,torso,max_hp,10,12
unit/view/test_action_bar.gd,chaingun,hp,3,6
unit/view/test_action_bar.gd,chaingun,max_hp,3,6
unit/view/test_action_bar.gd,chaingun,damage,5.0,2.0
unit/view/test_aim_view_dartboard_cache.gd,torso,hp,1,12
unit/view/test_aim_view_dartboard_cache.gd,torso,max_hp,1,12
unit/view/test_aim_view_part_label.gd,pistol,hp,1,3
unit/view/test_aim_view_part_label.gd,pistol,max_hp,1,3
unit/view/test_aim_view_part_label.gd,pistol,damage,5.0,4.0
unit/view/test_aim_view_part_label.gd,hand,hp,5,3
unit/view/test_aim_view_part_label.gd,hand,max_hp,5,3
unit/view/test_aim_view_part_label.gd,torso,hp,10,12
unit/view/test_aim_view_part_label.gd,torso,max_hp,10,12
unit/view/test_aim_view_part_label.gd,torso,material,steel,artificial_bone
unit/view/test_batch_badge_view.gd,torso,hp,10,12
unit/view/test_batch_badge_view.gd,torso,max_hp,10,12
unit/view/test_battle_scene.gd,leg,material,steel,artificial_bone
unit/view/test_battle_scene.gd,leg,hp,5,6
unit/view/test_battle_scene.gd,leg,max_hp,10,6
unit/view/test_battle_scene.gd,hand,hp,4,3
unit/view/test_battle_scene.gd,hand,max_hp,4,3
unit/view/test_battle_scene.gd,torso,hp,10,12
unit/view/test_battle_scene.gd,torso,max_hp,10,12
unit/view/test_battle_scene.gd,scrap_pile,hp,4,6
unit/view/test_battle_scene.gd,scrap_pile,max_hp,4,6
unit/view/test_battle_scene_occlusion_fade.gd,pistol,hp,1,3
unit/view/test_battle_scene_occlusion_fade.gd,pistol,max_hp,1,3
unit/view/test_battle_scene_occlusion_fade.gd,pistol,damage,5.0,4.0
unit/view/test_battle_scene_occlusion_fade.gd,hand,hp,5,3
unit/view/test_battle_scene_occlusion_fade.gd,hand,max_hp,5,3
unit/view/test_battle_scene_occlusion_fade.gd,torso,hp,10,12
unit/view/test_battle_scene_occlusion_fade.gd,torso,max_hp,10,12
unit/view/test_board_view.gd,crate,hp,5,3
unit/view/test_board_view.gd,crate,max_hp,5,3
unit/view/test_board_view.gd,pistol,hp,1,3
unit/view/test_board_view.gd,pistol,max_hp,1,3
unit/view/test_board_view.gd,arm,hp,4,6
unit/view/test_board_view.gd,arm,max_hp,4,6
unit/view/test_board_view.gd,torso,hp,10,12
unit/view/test_board_view.gd,torso,max_hp,10,12
unit/view/test_board_view_occlusion.gd,torso,hp,10,12
unit/view/test_board_view_occlusion.gd,torso,max_hp,10,12
unit/view/test_camera_rig.gd,torso,hp,10,12
unit/view/test_camera_rig.gd,torso,max_hp,10,12
unit/view/test_hit_volume_view.gd,arm,hp,0,6
unit/view/test_hit_volume_view.gd,arm,max_hp,4,6
unit/view/test_hit_volume_view.gd,torso,hp,10,12
unit/view/test_hit_volume_view.gd,torso,max_hp,10,12
unit/view/test_hit_volume_view_mesh_scene.gd,arm,hp,4,6
unit/view/test_hit_volume_view_mesh_scene.gd,arm,max_hp,4,6
unit/view/test_hit_volume_view_mesh_scene.gd,torso,hp,10,12
unit/view/test_hit_volume_view_mesh_scene.gd,torso,max_hp,10,12
unit/view/test_hit_volume_view_render_primitive.gd,torso,hp,10,12
unit/view/test_hit_volume_view_render_primitive.gd,torso,max_hp,10,12
unit/view/test_hit_volume_view_render_primitive.gd,torso,material,steel,artificial_bone
unit/view/test_hit_volume_view_weapon_labels.gd,torso,display_name,Torso,
unit/view/test_hit_volume_view_weapon_labels.gd,torso,hp,10,12
unit/view/test_hit_volume_view_weapon_labels.gd,torso,max_hp,10,12
unit/view/test_hit_volume_view_weapon_labels.gd,torso,render_primitive,CYLINDER,BOX
unit/view/test_inspect_dim.gd,goo_barrel,hp,4,3
unit/view/test_inspect_dim.gd,goo_barrel,max_hp,4,3
unit/view/test_inspect_panel.gd,torso,hp,10,12
unit/view/test_inspect_panel.gd,torso,max_hp,10,12
unit/view/test_inspect_panel.gd,leg,material,steel,artificial_bone
unit/view/test_inspect_panel.gd,hand,hp,4,3
unit/view/test_inspect_panel.gd,hand,max_hp,4,3
unit/view/test_inspect_panel.gd,goo_barrel,hp,6,3
unit/view/test_inspect_panel.gd,goo_barrel,max_hp,6,3
unit/view/test_inspect_viewer_lighting.gd,torso,hp,10,12
unit/view/test_inspect_viewer_lighting.gd,torso,max_hp,10,12
unit/view/test_part_highlight_bidirectional.gd,arm,hp,3,6
unit/view/test_part_highlight_bidirectional.gd,arm,max_hp,3,6
unit/view/test_part_highlight_bidirectional.gd,leg,hp,4,6
unit/view/test_part_highlight_bidirectional.gd,leg,max_hp,4,6
unit/view/test_part_highlight_bidirectional.gd,torso,hp,5,12
unit/view/test_part_highlight_bidirectional.gd,torso,max_hp,5,12
unit/view/test_phase12_transparency.gd,pistol,hp,1,3
unit/view/test_phase12_transparency.gd,pistol,max_hp,1,3
unit/view/test_phase12_transparency.gd,hand,hp,5,3
unit/view/test_phase12_transparency.gd,hand,max_hp,5,3
unit/view/test_phase12_transparency.gd,torso,hp,1000,12
unit/view/test_phase12_transparency.gd,torso,max_hp,1000,12
unit/view/test_stat_panel.gd,pistol,hp,1,3
unit/view/test_stat_panel.gd,pistol,max_hp,1,3
unit/view/test_stat_panel.gd,pistol,damage,5.0,4.0
unit/view/test_stat_panel.gd,pistol,crit_chance,0.1,0.0
unit/view/test_stat_panel.gd,hand,hp,5,3
unit/view/test_stat_panel.gd,hand,max_hp,5,3
unit/view/test_stat_panel.gd,torso,hp,10,12
unit/view/test_stat_panel.gd,torso,max_hp,10,12
unit/view/test_tactics_controller.gd,pistol,hp,1,3
unit/view/test_tactics_controller.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller.gd,hand,hp,5,3
unit/view/test_tactics_controller.gd,hand,max_hp,5,3
unit/view/test_tactics_controller.gd,torso,hp,10,12
unit/view/test_tactics_controller.gd,torso,max_hp,10,12
unit/view/test_tactics_controller.gd,chaingun,hp,1,6
unit/view/test_tactics_controller.gd,chaingun,max_hp,1,6
unit/view/test_tactics_controller.gd,chaingun,damage,5.0,2.0
unit/view/test_tactics_controller_aim.gd,pistol,hp,1,3
unit/view/test_tactics_controller_aim.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_aim.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_aim.gd,hand,hp,5,3
unit/view/test_tactics_controller_aim.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_aim.gd,torso,hp,10,12
unit/view/test_tactics_controller_aim.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_aim.gd,wall,hp,10,60
unit/view/test_tactics_controller_aim.gd,wall,max_hp,10,60
unit/view/test_tactics_controller_aim_facing.gd,pistol,hp,1,3
unit/view/test_tactics_controller_aim_facing.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_aim_facing.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_aim_facing.gd,hand,hp,5,3
unit/view/test_tactics_controller_aim_facing.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_aim_facing.gd,torso,hp,10,12
unit/view/test_tactics_controller_aim_facing.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_arm.gd,pistol,hp,1,3
unit/view/test_tactics_controller_arm.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_arm.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_arm.gd,hand,hp,5,3
unit/view/test_tactics_controller_arm.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_arm.gd,torso,hp,10,12
unit/view/test_tactics_controller_arm.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_arm.gd,saw_hand,damage,3.0,0.0
unit/view/test_tactics_controller_camera.gd,pistol,hp,1,3
unit/view/test_tactics_controller_camera.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_camera.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_camera.gd,hand,hp,5,3
unit/view/test_tactics_controller_camera.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_camera.gd,torso,hp,10,12
unit/view/test_tactics_controller_camera.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_click.gd,torso,hp,5,12
unit/view/test_tactics_controller_click.gd,torso,max_hp,5,12
unit/view/test_tactics_controller_click.gd,wall,hp,10,60
unit/view/test_tactics_controller_click.gd,wall,max_hp,10,60
unit/view/test_tactics_controller_facing.gd,pistol,hp,1,3
unit/view/test_tactics_controller_facing.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_facing.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_facing.gd,hand,hp,5,3
unit/view/test_tactics_controller_facing.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_facing.gd,torso,hp,10,12
unit/view/test_tactics_controller_facing.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_reticle.gd,pistol,hp,1,3
unit/view/test_tactics_controller_reticle.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_reticle.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_reticle.gd,hand,hp,5,3
unit/view/test_tactics_controller_reticle.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_reticle.gd,torso,hp,10,12
unit/view/test_tactics_controller_reticle.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_step_out.gd,pistol,hp,1,3
unit/view/test_tactics_controller_step_out.gd,pistol,max_hp,1,3
unit/view/test_tactics_controller_step_out.gd,pistol,damage,5.0,4.0
unit/view/test_tactics_controller_step_out.gd,hand,hp,5,3
unit/view/test_tactics_controller_step_out.gd,hand,max_hp,5,3
unit/view/test_tactics_controller_step_out.gd,torso,hp,10,12
unit/view/test_tactics_controller_step_out.gd,torso,max_hp,10,12
unit/view/test_tactics_controller_step_out.gd,chaingun,hp,3,6
unit/view/test_tactics_controller_step_out.gd,chaingun,max_hp,3,6
